Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_7428,37,156,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7429,14,63,15,15,15,15,15,14,15,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_7430,138,74,17,16,17,18,14,14,14,14,14,14,14,14,14,14,14,13,14,13,14,13,14,13,14,13
Map_7431,14,49,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7432,11,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7433,9,109,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7434,14,18,11,11,11,9,13,11,13,11,13,11,13,11,13,11,9,9,9,9,9,9,9,10,9,10
Map_7435,6,9,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_7436,13,61,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7437,13,88,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7438,66,76,26,26,26,31,23,17,23,17,23,17,23,17,23,17,17,17,17,17,17,17,17,17,17,17
Map_7439,9,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7440,9,22,9,9,9,14,9,9,9,9,9,9,9,9,9,9,13,9,13,9,13,9,9,9,9,9
Map_7441,14,43,16,16,14,16,16,16,16,14,16,14,16,16,16,16,16,13,17,13,17,13,16,14,16,14
Map_7442,8,20,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7443,91,121,26,26,26,30,24,25,24,25,24,25,24,25,24,25,24,25,24,26,24,26,24,25,24,25
Map_7444,9,51,9,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_7445,12,18,12,12,12,17,12,11,12,11,12,11,11,11,11,11,12,11,12,11,12,11,12,11,12,11
Map_7446,24,78,12,12,12,19,12,11,12,11,12,11,11,11,11,11,16,11,16,11,16,11,12,11,12,11
Map_7447,24,87,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Map_7448,14,48,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_7449,17,41,16,16,16,18,15,15,15,15,15,15,15,15,15,15,15,14,15,14,15,14,15,14,15,14
Map_7450,22,23,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
